Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate,AVG COL-G
1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 List of NBA champions | Larry O'Brien Trophy | Most Valuable Player Award | 2019 NBA Finals |,2020 NBA Finals | 2021 NBA Finals | 2022 NBA Finals | 2023 NBA Finals | 2024 NBA Finals | 2025 NBA Finals | 2026 NBA Finals | 2027 NBA Finals | 2028 NBA Finals | 2029 NBA Finals | 2020 NBA Finals | 2021 NBA Finals | 2022 NBA Finals | 2023 NBA Finals | 2024 NBA Finals | 2025 NBA Finals | 2026 NBA Finals | 2027 NBA Finals | 2028 NBA Finals | 2029 NBA Finals | 2020 NBA Finals | 2021 NBA Finals | 2022 NBA Finals | 2023 NBA Finals | 2024 NBA Finals | 2025 NBA Finals | 2026 NBA Finals | 2027 NBA Finals | 2028 NBA Finals | 2029 NBA Finals | 2020 NBA Finals | 2021 NBA Finals | 2022 NBA Finals | 2023 NBA Finals | 2024 NBA Finals | 2025 NBA Finals | 2026 NBA Finals | 2027 NBA Finals | 2028 NBA Finals | 2029 NBA Finals | 2020 NBA Finals | 2021 NBA Finals | 2022 NBA Finals | 2023 NBA Finals | 2024 NBA Finals | 2025 NBA Finals | 2026 NBA Finals | 2027 NBA Finals | 2028 NBA Finals | 2029 NBA Finals | 2020 NBA Finals | 2021 NBA Finals | 2022 NBA Finals | 2023 NBA Finals | 2024 NBA Finals,52,128,219,382,16.74324536,
What was the name of the Mason-Dixon Conference Jeff Meyer?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",10,14,16,21,1.025939941,
"After the 2017-18 school year, which two universities dissolved IPFW?","I'm sorry, I cannot provide an accurate answer as there is no mention of IPFW in the prompt. Can you please provide more context or information?",10,17,26,32,1.504140615,
What team did Portland sweep 4-0 in the Western Conference finals?,Portland swept 4-0 in the Western Conference finals against the Golden State Warriors in 2019.,11,15,15,21,1.007827282,
In what game did Terry lose to the Utah Jazz?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Terry could have lost to the Utah Jazz in multiple games throughout his career.",10,11,28,33,1.529570341,
What is the division I for both sexes?,"I'm sorry, I cannot provide a specific answer without additional context. Can you please provide more information?",8,9,17,22,1.058367968,
The Celtics are currently one of the best teams in what division?,"As of the 2021-2022 season, the Celtics are currently one of the top teams in the Eastern Conference.",12,13,18,25,1.185781956,
Who was the first rookie to put up 30 points and 10 rebounds in one game for the Knicks?,The first rookie to put up 30 points and 10 rebounds in one game for the Knicks was Carmelo Anthony in 2003.,19,22,22,28,1.308404446,
How many points per game are there in the NBA regular season?,"The number of points per game in the NBA regular season can vary depending on the team and the game. However, the average number of points per game in the NBA regular season is around 100.",12,13,36,40,1.837879658,
What are the names of the UMNSNH Foxes?,"I'm sorry, I cannot provide an answer to that question as it is specific to a particular organization and I do not have access to that information.",8,12,27,31,1.440033674,
How many games are played over weekends?,"I'm sorry, I cannot provide an accurate answer as it depends on the region and the specific sports or games being played.",7,8,22,26,1.232732534,
How many times have Green and LeBron James won a NBA championship with three different teams?,"Green and LeBron James have won a NBA championship with three different teams. Green has won a championship with the San Antonio Spurs, the Golden State Warriors, and the Toronto Raptors. LeBron James has won a championship with the Los Angeles Lakers, the Miami Heat, and the Los Angeles Lakers.",16,17,50,58,2.608913898,
What did he suffer during a game against the Houston Rockets in early December 2008?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Can you please provide more information?",15,18,20,25,1.184582472,
Who ranked Tolliver 12th in the USA Today rankings?,"I'm sorry, I cannot provide an accurate answer as Tolliver is not a well-known name in the USA Today rankings.",9,13,20,27,1.26355505,
Who was the best regular season player in the NBA?,"There is no definitive answer to this question as it is subjective and can vary depending on personal opinions. However, some of the most popular and successful players in NBA history include Michael Jordan, LeBron James, and Kobe Bryant.",10,11,39,44,2.012574196,
How many games did he play for the Royals in 1969-1970?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",11,17,17,22,1.06354022,
What was Garnett's second ever 50 win season?,Garnett's second ever 50 win season was in 2007-08.,8,13,9,19,0.9107306,
Who is Rudy Gobert?,Rudy Gobert is a professional basketball player who currently plays for the Utah Jazz in the National Basketball Association. He is a 7-foot-1 center who has been a member of the Jazz since 2011.,4,7,34,46,2.089281559,
How many.414.377.500 2.6 2.8.7.2 12.0 2019-20 Miami 3 0 14.0.3385.471.000 3.7 1.,0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.,12,52,116,460,20.06665444,
When did Thompson score 27 of his season-high 43 points in the third quarter of the Warriors' 128-103 win over the Phoenix Suns?,"Thompson scored 27 of his season-high 43 points in the third quarter of the Warriors' 128-103 win over the Phoenix Suns on January 13, 2019.",23,32,25,39,1.786632538,
How many of the NBA's now-fourteen teams finished.500 or better this year?,There are currently 14 NBA teams that finished the 2019-2020 season with a record of.500 or better.,12,20,17,26,1.273822308,
When was Ashley Robinson resigned?,"I'm sorry, I cannot find any information on Ashley Robinson's resignation. Can you provide more context or details?",5,6,18,25,1.174063921,
Who was the Western Conference champion in 1972?,The Western Conference champion in 1972 was the Los Angeles Lakers.,8,11,11,14,0.698810339,
Which team defeated Petron Blaze 4-3?,"I'm sorry, I cannot provide an accurate answer as there is no team named Petron Blaze. Can you please provide more context or information?",6,12,24,31,1.442573309,
What was the score of the Philippines in the 2014-15 PBA Philippine Cup eliminations?,The Philippines did not participate in the 2014-15 PBA Philippine Cup eliminations.,14,21,12,19,0.9468503,
How many straight Finals MVPs did Jordan win?,Jordan won 6 straight Finals MVPs.,8,10,6,9,0.485587835,
Where was the last university to rank 15th in 2008 2006 2006 2010 2010?,"I'm sorry, I cannot provide an answer as the prompt is unclear and does not provide enough information to determine the specific university.",14,27,23,27,1.264757156,
What is Caruso's weight?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time information on celebrities' weights.",4,8,20,27,1.290306568,
What is the purpose of the national association of intercollegiate athletics women's basketball championship?,The purpose of the National Association of Intercollegiate Athletics Women's Basketball Championship is to provide a national championship tournament for women's basketball teams from colleges and universities across the United States. The tournament is designed to showcase the best teams in the country and provide them with an opportunity to compete for a national championship.,14,20,55,64,2.869867325,
What was the game-tying basket in the first OT period?,"I'm sorry, I cannot provide an accurate answer as there is no specific game or time period mentioned. Can you please provide more context or information?",10,14,26,31,1.464947224,
How much did he weigh in his 40s?,"I'm sorry, I cannot provide an accurate answer as I do not have enough information about the specific person you are referring to.",8,11,23,27,1.271002293,
How many academic years did Okafor complete his undergraduate degree in?,"I'm sorry, I cannot provide an answer as Okafor is a fictional character and there is no information available on his academic background.",11,14,23,29,1.348227978,
How many games did each conference finish within four games of each other?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time data on the number of games each conference has played.",13,14,26,32,1.481962204,
What is the name of the BMO Harris Bradley Center stadium?,The name of the BMO Harris Bradley Center stadium is Fiserv Forum.,11,13,12,15,0.745966911,
Where did Cal end their 50 game Pac-10 winning streak?,"Cal ended their 50 game Pac-10 winning streak on February 28, 2008, when they lost to Stanford.",10,14,17,26,1.223127127,
When did the Baltic Basketball League start?,The Baltic Basketball League was founded in 1991.,7,8,8,11,0.576519728,
What was Kareem Abdul-Jabbar's career-high?,"Kareem Abdul-Jabbar's career-high was 38 points in a game against the New York Knicks on February 21, 1979.",5,16,18,34,1.573597193,
Who will design a new arena for the Red Wings?,"The Detroit Red Wings have announced that they will be building a new arena in Detroit. The new arena will be built on the site of the current Joe Louis Arena, which is located in Downtown Detroit. The new arena will be built in conjunction with the Detroit Pistons, who will be relocating to the new arena in 2021.",10,11,59,67,3.00639987,
When was Hill traded to the Philadelphia 76ers?,"Hill was traded to the Philadelphia 76ers on February 24, 1982.",8,11,11,18,0.873943806,
What team did he play for in his career?,"I'm sorry, I cannot answer that question as it requires knowledge of the specific player's career and team history.",9,10,19,25,1.184911013,
How many players left during the season?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,8,17,22,1.050059319,
What was the best record in franchise history in 1996-1997?,"The best record in franchise history in 1996-1997 was 82-80, which was the first time the franchise had won more than 70 games in a season.",10,16,26,37,1.699462414,
"Patrick Ewing of Jamaica, Pau Gasol of Spain, Kyrie Irving and Ben Simmons of Australia, Andrew Wiggins of Canada, and Luka Doni of Slovenia won what?",The 2019 FIBA Basketball World Cup.,26,37,6,10,0.53343153,
Mississippi State 68 UC-Irvine 53 Mississippi State 49 18 Southern Illinois?,"The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The 2019-20 Southern Illinois Fighting Illini basketball schedule features dates, opponents, and results. Find out how you can catch the latest Illini basketball games.
The",11,20,337,491,21.59372187,
