Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate
Which football team won the F. A. Cup in 1988 as Dave Beasant became the first goalkeeper to save an F. A. Cup final penalty?,The football team that won the F. A. Cup in 1988 as Dave Beasant became the first goalkeeper to save an F. A. Cup final penalty was Arsenal.,25,33,28,36,1.72103405
Which song gave Windsor Davies and Don Estelle a number one hit in 1975?,"The song that gave Windsor Davies and Don Estelle a number one hit in 1975 was ""The World's Most Beautiful Thing"".",14,18,21,29,1.395674467
Which two-letter word can go after tan and con to produce two new words?,The two-letter word that can go after tan and con to produce two new words is 'tan'.,14,17,17,22,1.070693731
The Italian word for scratched drawings is used commonly in English. What is it?,The Italian word for scratched drawings is 'tracciato'.,14,16,8,13,0.67552352
Which four letter word can go before beat or fall or after come or melt to produce four new words?,The four letter word that can go before beat or fall is 'be'. The four letter word that can go after come is 'go'. The four letter word that can go before melt is'me'. The four letter word that can go after melt is 'or'.,20,21,45,57,2.678355694
What are the first three words in the Bible?,"The first three words in the Bible are ""In the beginning.""",9,10,11,14,0.72196269
How many points would you get for the word Scrabble in a game of Scrabble?,"The number of points you would get for the word Scrabble in a game of Scrabble depends on the word's length and the number of letters in it. Generally, longer words with more letters will have a higher point value. However, the exact point value of a word can vary depending on the specific rules of the game being played.",15,18,60,69,3.182327747
What is the second most common word in written English behind the?,The second most common word in written English is 'and'.,12,13,10,13,0.668368578
"Which town had a clock which always told the time never too quickly, never too slowly?","The town of Bexhill-on-Sea, England, had a clock that was always accurate and never too fast or too slow.",16,18,19,28,1.341240168
What is the largest state in America?,The largest state in America is Alaska.,7,8,7,8,0.451312065
What part of the body is also the name of a punctuation mark?,The part of the body that is also the name of a punctuation mark is the colon.,13,14,17,18,0.890168667
"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",The event that was broadcast live on British television for the first time on 20th March 1990 was the General Election.,20,26,21,26,1.25195694
In 1796 Edward Jenner discovered a vacination for what?,Edward Jenner discovered a vaccination for smallpox.,9,13,7,9,0.492424726
What is graphology the study of?,Graphology is the study of handwriting and graphology is the study of handwriting. It is a science that can be used to analyze the personality traits and characteristics of individuals based on their handwriting.,6,8,34,38,1.804067373
Who provided the voice of the princess in the film 'Shrek'?,The voice of the princess in the film 'Shrek' was provided by actress Anna Faris.,11,15,15,21,1.033718348
"Which sea has shores in Europe, Asia and Africa?","The Mediterranean Sea has shores in Europe, Asia and Africa.",9,11,10,12,0.631617308
In which year did Karl Marx publish the first volume of Das Kapital?,Karl Marx published the first volume of Das Kapital in 1867.,13,15,11,15,0.764919758
What is the Latin name for the constellation that is commonly known as the Great Bear?,The Latin name for the constellation that is commonly known as the Great Bear is Ursa Major.,16,17,17,19,0.937458515
What is the world's most southerly capital?,"The world's most southerly capital is Punta del Este, Uruguay.",7,12,10,17,0.848931313
Which actor did Jennifer Anniston marry in July 2000?,Jennifer Anniston and Brad Pitt were married in July 2000.,9,13,10,14,0.715909719
Which English Cathedral has the highest spire?,"The English Cathedral with the highest spire is the Cathedral of St. Peter in the city of Ely, which stands at 123 feet tall.",7,9,24,29,1.392257214
"Which 1999 film featured a trio of main characters called Heather, Josh and Michael?",The film you are referring to is called 'The Game'.,14,18,10,13,0.679068089
"Created by Tim Smit in Cornwall, what is the name of the ecological botanical gardens sometimes dubbed the eighth wonder of the world?",The ecological botanical gardens sometimes dubbed the eighth wonder of the world are the Eden Project.,23,26,16,17,0.877789497
Who is the only artist to have a top 40 hit with 'Mustang Sally' in the UK when it reached number 28 in 1966?,The only artist to have a top 40 hit with 'Mustang Sally' in the UK when it reached number 28 in 1966 was the Four Tops.,24,33,26,35,1.658122063
What was Manchester United football club's original name?,Manchester United football club was originally named St. George's Park F.C.,8,11,11,17,0.845753908
Who played the title role in the television series 'Dr. Kildare'?,The title role in the television series 'Dr. Kildare' was played by Richard Cromwell.,11,17,14,22,1.071436882
Which company manufactured Love Hearts - packets of small round sweets each of which had a short message on?,The company that manufactured Love Hearts is Cadbury.,19,21,8,10,0.539736271
"Approximately what percentage of Valentine's cards are bought by women? 50%, 70% or 85%?",Approximately 50% of Valentine's cards are bought by women.,14,25,9,15,0.765710115
"In which TV sitcom is one of the characters said to have proposed to another on Valentine's Day by putting the message Lee love Dawn, marriage? in their local paper?","I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",30,35,16,21,1.050419807
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?,"The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French word for what type of food?
The word love as used in the scoring of tennis is thought to have originated from the French",24,25,450,486,21.74600816
